catid	q	a	img url		
politic	你知道中國國民黨選舉總支出最高的前五名立委是誰嗎？	費鴻泰 (41872750)、楊瓊瓔 (37735577)、黃昭順 (34602754)、王惠美 (30270191)、盧秀燕 (30207624)		g0v 立委投票指南	
politic	你知道民主進步黨選舉總支出最高的前五名立委是誰嗎？	林佳龍 (28672905)、林岱樺 (27818484)、管碧玲 (25802058)、李昆澤 (24272470)、趙天麟 (23511329)		g0v 立委投票指南	
politic	你知道中國國民黨脫黨投票次數前三高的立法委員？	李慶華(15)、丁守中(12)、羅淑蕾 (9)		g0v 立委投票指南	
politic	你知道中國國民黨脫黨投票次數最高的立法委員？	李俊俋 (4)、何欣純 (4)、陳亭妃 (4)、林淑芬 (4)、高志鵬 (4)		g0v 立委投票指南	
politic	你知道全國不分區立委紀國棟投票缺席率嗎？	107 次 (投票缺席率21.84 %)		g0v 立委投票指南	
politic	你知道本屆立法院開會缺席前十名？	邱議瑩 (28) 22.40%、翁重鈞 (16) 12.80%、謝國樑 (15) 12.00%、陳超明 (10) 8.00%、陳明文 (10) 8.00%		g0v 立委投票指南	
					
care	你知道 103 年台灣十大死因？	(1)惡性腫瘤(2)心臟疾病(3)腦血管疾病(4)肺炎(5)糖尿病(6)事故傷害(7)慢性下呼吸道疾病(8)高血壓性疾病(9)慢性肝病及肝硬化(10)腎炎、腎病症候群及腎病變		衛生福利部 102年國人死因統計結果	
care	你知道自殺問題 103 年有多嚴重嗎？	民國 103 年自殺居第11順位		衛生福利部 102年國人死因統計結果	
care	你知道 103 年台灣 65 歲以上主要死因？	惡性腫瘤		衛生福利部 102年國人死因統計結果	
care	你知道 103 年台灣十大癌症排序？	十大癌症死亡率依序為(1)氣管、支氣管和肺癌(2)肝和肝內膽管癌(3)結腸、直腸和肛門癌(4)女性乳房癌(5)口腔癌(6)前列腺(攝護腺)癌(7)胃癌(8)胰臟癌(9)食道癌(10)子宮頸及部位未明示子宮癌，順位與上年相同。		衛生福利部 102年國人死因統計結果	
care	你知道中央健保保險局何時成立？	民國84年1月1日		衛生福利部 102年國人死因統計結果	
care	你知道104年到目前為止台北市健保就醫人數有多少嗎？	1852萬5087人			
care	你知道104年到目前為止高雄市健保就醫人數有多少嗎？	1786萬5038人			
care	你知道時尚產後護理之家在哪裡嗎？	臺北市松山區民權東路3段140巷15號3樓			
care	你知道康和產後護理之家在哪裡嗎？	臺北市大安區金山南路2段31巷9號2～4樓			
care	你知道肺癌常見的症狀和徵象嗎？	咳嗽、氣喘、咳血、胸悶、聲音沙啞、吞嚥困難、胸痛。		仁愛醫療財團法人	
care	你知道我們為什麼要作乳癌的篩檢呢？	原因有二：首先是可以大幅提高治癒率，早期（零期或第一期）的乳癌五年存活率為百方之八十五至百分之一百；而第二期乳癌五年存活率則為百分之六十五左右；第三期約為百分之四十，第四期則降至百分之十以下。第二個原因則是愈早期發現，乳房保留的可能性愈高。		仁愛醫療財團法人	
care	你知道人體可以完全切除的內臟是？	胃			
care	你知道禿頭的成因嗎？	荷爾蒙失調、藥物反應、營養不良、遺傳、疾病發生而病變、心理壓力、情緒引起、內分泌失調、接受癌症治療	http://link.photo.pchome.com.tw/s08/wooldna/180/128106838579/	wiki	
care	你知道香港腳的成因嗎？	當皮膚一直保持在潮濕的狀況，表皮尤其是腳掌最容易孳生真菌，當真菌大量繁殖並入侵皮層，便誘發足癬。		wiki	
					
					
finance	你知道104年6月營收最高的上市公司是哪一家嗎？	(2317)鴻海 : 3185億5596萬5000元			
