school	school_name	postal_code	address	telephone
國小	國立北教大實小	106	臺北市大安區龍淵里和平東路2段94號	02-2735-6186
國小	國立政大實小	116	臺北市文山區指南路三段12號	02-2939-3610
國小	松山國小	105	臺北市松山區八德路四段746號	02-2767-2907
國小	西松國小	105	臺北市松山區東光里三民路5號	02-2760-9221
國小	敦化國小	105	臺北市松山區中正里敦化北路2號	02-2741-4065
國小	民生國小	105	臺北市松山區敦化北路199巷18號	02-2712-2452
國小	民權國小	105	臺北市松山區民權東路四段200號	02-2765-2327
國小	民族國小	105	臺北市松山區民生東路4段97巷7號	02-2712-4872
國小	三民國小	105	臺北市松山區莊敬里民權東路五段1號	02-2764-6080
國小	健康國小	105	臺北市松山區延壽街168號	02-2528-2814
國小	興雅國小	110	臺北市信義區雅祥里基隆路1段83巷9號	02-2761-8156
國小	永春國小	110	臺北市信義區永春里松山路225巷48號	02-2764-1314
國小	光復國小	110	臺北市信義區光復南路271號	02-2758-5076
國小	三興國小	110	臺北市信義區景聯里基隆路2段99號	02-2738-5488
國小	信義國小	110	臺北市信義區松勤街60號	02-2720-4005
國小	吳興國小	110	臺北市信義區松仁路226號	02-2720-0226
國小	福德國小	110	臺北市信義區中行里褔德街253號	02-2727-7992
國小	永吉國小	110	臺北市信義區永春里松山路287巷5號	02-8785-8111
國小	博愛國小	110	臺北市信義區松仁路22鄰95巷20號	02-2345-0616
國小	龍安國小	106	臺北市大安區龍門里新生南路3段33號	02-2363-2077
國小	大安國小	106	臺北市大安區芳和里臥龍街129號	02-2732-2332
國小	幸安國小	106	臺北市大安區民炤里仁愛路3段22號	02-2707-4191
國小	建安國小	106	臺北市大安區龍雲里大安路2段99號	02-2707-7119
國小	仁愛國小	106	臺北市大安區敦安里安和路1段60號	02-2709-5010
國小	金華國小	106	臺北市大安區永康里愛國東路79巷11號	02-2391-7402
國小	古亭國小	106	臺北市大安區古風里羅斯福路3段201號	02-2363-9795
國小	銘傳國小	106	臺北市大安區農場里羅斯褔路四段21號	02-2363-9815
國小	公館國小	106	臺北市大安區基隆路4段41巷68弄2號	02-2735-1734
國小	新生國小	106	臺北市大安區新生南路二段36號	02-2391-3122
國小	中山國小	104	臺北市中山區恆安里民權東路1段69號	02-2591-4085
國小	中正國小	104	臺北市中山區力行里龍江路62號	02-2507-0932
國小	長安國小	104	臺北市中山區興亞里吉林路15號	02-2561-7600
國小	長春國小	104	臺北市中山區中央里長春路165號	02-2502-4366
國小	大直國小	104	臺北市中山區大直里大直街2號	02-2533-3953
國小	大佳國小	104	臺北市中山區大佳里6鄰濱江街107號	02-2503-5816
國小	五常國小	104	臺北市中山區下埤里五常街16號	02-2502-3416
國小	吉林國小	104	臺北市中山區中原里長春路116號	02-2521-9196
國小	懷生國小	104	臺北市中山區埤頭里安東街16巷2號	02-2771-0846
國小	永安國小	104	臺北市中山區明水路397巷19弄1號	02-2533-5672
國小	濱江國小	104	臺北市中山區樂群二路266巷99號	02-8502-1571
國小	螢橋國小	100	臺北市中正區螢雪里詔安街29號	02-2305-4620
國小	河堤國小	100	臺北市中正區汀州路二段180號	02-2367-7144
國小	忠義國小	100	臺北市中正區中華路二段307巷17號	02-2303-8752
國小	國語實小	100	臺北市中正區龍光里南海路58號	02-2303-3555
